timestamp;AFz;AF3;AF4;AF7;AF8;Pz;P3;P4
1715069287588;-23159.273;-26758.91;-22299.551;-23620.688;-23070.387;-9637.587;-11938.065;-8007.139
1715069287596;-22982.881;-26554.652;-22128.857;-23441.762;-22893.771;-9569.824;-11840.798;-7940.494
1715069287604;-22823.252;-26372.188;-21976.121;-23280.568;-22735.373;-9487.83;-11748.746;-7872.656
1715069287612;-22628.383;-26149.676;-21788.887;-23082.457;-22539.645;-9432.212;-11669.993;-7836.521
1715069287620;-22476.092;-25965.385;-21642.484;-22922.865;-22386.945;-9340.532;-11563.301;-7748.343
1715069287628;-22303.09;-25766.344;-21474.584;-22747.033;-22215.918;-9296.275;-11504.031;-7726.252
1715069287636;-22127.479;-25565.922;-21306.574;-22567.361;-22042.281;-9219.088;-11404.008;-7655.248
1715069287644;-21937.676;-25348.85;-21121.576;-22375.025;-21852.031;-9101.815;-11276.268;-7553.138
1715069287652;-21746.568;-25128.201;-20937.1;-22182.203;-21662.488;-9051.673;-11207.797;-7518.232
1715069287660;-21607.316;-24962.127;-20805.039;-22037.887;-21525.063;-8965.172;-11105.537;-7437.654
1715069287668;-21440.723;-24769.566;-20643.324;-21869.504;-21357.537;-8928.515;-11056.065;-7419.176
1715069287676;-21273.754;-24580.023;-20484.775;-21700.113;-21192.357;-8865.669;-10967.963;-7359.236
1715069287684;-21111.48;-24391.971;-20329.506;-21536.834;-21029.041;-8776.076;-10872.855;-7284.619
1715069287692;-20915.791;-24171.584;-20139.775;-21338.016;-20836.369;-8721.538;-10796.562;-7245.056
1715069287700;-20763.092;-23992.211;-19992.59;-21179.541;-20685.01;-8628.48;-10682.084;-7156.246
1715069287708;-20579.285;-23781.322;-19814.744;-20994.432;-20501.465;-8571.223;-10603.145;-7124.357
1715069287716;-20417.98;-23592.896;-19658.953;-20827.428;-20340.123;-8508.525;-10518.692;-7067.509
1715069287724;-20272.098;-23421.348;-19520.111;-20680.166;-20194.836;-8432.231;-10439.604;-7003.918
1715069287732;-20083.002;-23206.398;-19337.162;-20491.033;-20005.367;-8390.732;-10378.92;-6970.316
1715069287740;-19932.502;-23026.84;-19192.359;-20333.342;-19857.436;-8284.449;-10255.128;-6868.951
1715069287748;-19763.074;-22836.066;-19028.783;-20161.793;-19688.793;-8240.007;-10194.107;-6848.909
1715069287756;-19603.559;-22649.355;-18875.449;-19996.24;-19529.76;-8173.063;-10106.377;-6787.442
1715069287764;-19437.67;-22460.371;-18718.801;-19828.789;-19365.959;-8079.968;-10003.969;-6710.104
1715069287772;-19260.123;-22260.361;-18548.779;-19650.236;-19189.529;-8049.086;-9949.096;-6692.819
1715069287794;-19102.99;-22073.537;-18396.043;-19488.371;-19033.662;-7934.458;-9819.009;-6582.364
1715069287802;-18942.244;-21886.676;-18240.549;-19324.57;-18872.916;-7890.538;-9764.321;-6557.591
1715069287810;-18791.221;-21713.414;-18098.467;-19171.461;-18721.67;-7833.131;-9686.724;-6506.331
1715069287818;-18643.514;-21541.9;-17953.291;-19017.012;-18573.404;-7754.453;-9596.385;-6441.437
1715069287826;-18456.689;-21332.764;-17770.379;-18827.543;-18387.438;-7701.963;-9520.725;-6401.353
1715069287834;-18317.811;-21164.604;-17637.238;-18686.354;-18250.682;-7614.903;-9420.216;-6314.74
1715069287842;-18162.094;-20984.672;-17489.344;-18528.998;-18095.934;-7572.658;-9369.701;-6292.909
1715069287850;-18000.119;-20798.52;-17335.006;-18361.77;-17934.219;-7498.041;-9269.715;-6223.47
1715069287858;-17842.092;-20615.943;-17181.076;-18198.564;-17775.633;-7401.742;-9163.692;-6141.104
1715069287866;-17683.543;-20431.43;-17025.359;-18036.701;-17617.047;-7380.545;-9119.734;-6129.481
1715069287874;-17558.783;-20285.285;-16907.043;-17910.115;-17494;-7303.246;-9030.886;-6052.479
1715069287882;-17381.273;-20082.816;-16733.967;-17729.998;-17319.135;-7239.133;-8954.853;-6012.134
