dateTimeCalculatedAt;calculatedAt;workload;workload_raw;stress;stress_raw
"2024-05-07T08:08:33.868Z";1715069313868;1.8699;1.4139;1.5151;1.4241
"2024-05-07T08:08:34.038Z";1715069314038;1.8713;1.5174;1.5184;1.4567
"2024-05-07T08:08:34.26Z";1715069314260;1.8735;1.6651;1.519;1.4075
"2024-05-07T08:08:34.669Z";1715069314669;1.8765;1.717;1.5179;1.4759
"2024-05-07T08:08:34.72Z";1715069314720;1.8774;1.6207;1.5157;1.4231
"2024-05-07T08:08:34.806Z";1715069314806;1.8779;1.716;1.5149;1.4772
"2024-05-07T08:08:35.002Z";1715069315002;1.8796;1.7741;1.5156;1.5499
"2024-05-07T08:08:35.355Z";1715069315355;1.8819;1.7986;1.5174;1.5966
"2024-05-07T08:08:35.47Z";1715069315470;1.885;2.0194;1.5193;1.6051
"2024-05-07T08:08:35.695Z";1715069315695;1.8875;2.036;1.5215;1.6276
"2024-05-07T08:08:35.827Z";1715069315827;1.8887;2.0386;1.5238;1.6348
"2024-05-07T08:08:36.017Z";1715069316017;1.8886;1.9615;1.5275;1.7086
"2024-05-07T08:08:36.157Z";1715069316157;1.8871;1.9427;1.5303;1.6675
"2024-05-07T08:08:36.345Z";1715069316345;1.8859;2.0285;1.5325;1.6445
"2024-05-07T08:08:36.577Z";1715069316577;1.8848;1.9702;1.5349;1.6634
"2024-05-07T08:08:36.721Z";1715069316721;1.8805;1.9353;1.537;1.6479
"2024-05-07T08:08:36.978Z";1715069316978;1.8737;1.815;1.5375;1.5621
"2024-05-07T08:08:37.196Z";1715069317196;1.865;1.7422;1.5374;1.5327
"2024-05-07T08:08:37.472Z";1715069317472;1.8556;1.6254;1.537;1.5117
"2024-05-07T08:08:37.657Z";1715069317657;1.845;1.4645;1.5374;1.5616
"2024-05-07T08:08:38.08Z";1715069318080;1.8334;1.4215;1.5368;1.5009
"2024-05-07T08:08:38.126Z";1715069318126;1.8175;1.3178;1.5349;1.4259
"2024-05-07T08:08:38.296Z";1715069318296;1.8051;1.4343;1.5321;1.3658
"2024-05-07T08:08:38.456Z";1715069318456;1.7905;1.2049;1.5295;1.3708
"2024-05-07T08:08:38.693Z";1715069318693;1.777;1.1993;1.5258;1.2936
"2024-05-07T08:08:38.99Z";1715069318990;1.7655;1.2186;1.5216;1.2586
"2024-05-07T08:08:39.098Z";1715069319098;1.7571;1.2761;1.5184;1.3136
"2024-05-07T08:08:39.416Z";1715069319416;1.7512;1.3563;1.5147;1.272
"2024-05-07T08:08:39.494Z";1715069319494;1.7451;1.3393;1.5109;1.2582
"2024-05-07T08:08:39.665Z";1715069319665;1.7395;1.3606;1.5057;1.1614
"2024-05-07T08:08:39.94Z";1715069319940;1.7388;1.4549;1.5008;1.1639
"2024-05-07T08:08:40.041Z";1715069320041;1.7381;1.5378;1.4964;1.1967
"2024-05-07T08:08:40.273Z";1715069320273;1.7374;1.5272;1.4923;1.202
"2024-05-07T08:08:40.533Z";1715069320533;1.7363;1.4939;1.4881;1.1897
"2024-05-07T08:08:40.644Z";1715069320644;1.7357;1.5458;1.4837;1.171
"2024-05-07T08:08:40.808Z";1715069320808;1.7329;1.4449;1.4793;1.1596
"2024-05-07T08:08:40.988Z";1715069320988;1.7279;1.3909;1.474;1.0783
"2024-05-07T08:08:41.188Z";1715069321188;1.721;1.4192;1.4667;1.1139
"2024-05-07T08:08:41.395Z";1715069321395;1.716;1.4186;1.4594;1.1216
"2024-05-07T08:08:41.591Z";1715069321591;1.7095;1.2303;1.4522;1.0866
"2024-05-07T08:08:41.796Z";1715069321796;1.7006;1.121;1.4459;1.0987
"2024-05-07T08:08:41.993Z";1715069321993;1.6912;1.1235;1.4401;1.0617
"2024-05-07T08:08:42.173Z";1715069322173;1.6827;1.0836;1.4358;1.118
"2024-05-07T08:08:42.33Z";1715069322330;1.6743;1.1648;1.432;1.1092
"2024-05-07T08:08:42.534Z";1715069322534;1.6656;1.1281;1.4278;1.0767
"2024-05-07T08:08:42.752Z";1715069322752;1.6598;1.1477;1.4263;1.1606
"2024-05-07T08:08:42.921Z";1715069322921;1.6543;1.1297;1.4243;1.2029
"2024-05-07T08:08:43.184Z";1715069323184;1.6515;1.1496;1.4217;1.2325
"2024-05-07T08:08:43.336Z";1715069323336;1.6489;1.2076;1.42;1.2116
"2024-05-07T08:08:43.545Z";1715069323545;1.651;1.328;1.4198;1.3348
"2024-05-07T08:08:43.95Z";1715069323950;1.6519;1.3159;1.4199;1.3271
"2024-05-07T08:08:44.157Z";1715069324157;1.6516;1.3353;1.4194;1.3548
"2024-05-07T08:08:44.291Z";1715069324291;1.6503;1.2248;1.4189;1.3781
"2024-05-07T08:08:44.539Z";1715069324539;1.6487;1.1781;1.4195;1.4743
"2024-05-07T08:08:44.662Z";1715069324662;1.6461;1.3136;1.4211;1.5465
"2024-05-07T08:08:44.862Z";1715069324862;1.6403;1.3509;1.421;1.4574
"2024-05-07T08:08:45.063Z";1715069325063;1.6323;1.3253;1.4196;1.4314
"2024-05-07T08:08:45.297Z";1715069325297;1.6233;1.2561;1.4194;1.4756
"2024-05-07T08:08:45.443Z";1715069325443;1.6121;1.2226;1.4185;1.4642
"2024-05-07T08:08:45.637Z";1715069325637;1.5975;1.189;1.4164;1.385
"2024-05-07T08:08:45.881Z";1715069325881;1.5797;1.1686;1.4135;1.4017
"2024-05-07T08:08:46.031Z";1715069326031;1.5634;1.2338;1.4097;1.399
"2024-05-07T08:08:46.206Z";1715069326206;1.5483;1.2854;1.4044;1.2795
"2024-05-07T08:08:46.405Z";1715069326405;1.5317;1.2345;1.3989;1.2501
"2024-05-07T08:08:46.657Z";1715069326657;1.5136;1.176;1.3926;1.1967
"2024-05-07T08:08:46.771Z";1715069326771;1.4956;1.1622;1.3859;1.2364
"2024-05-07T08:08:46.956Z";1715069326956;1.4807;1.2224;1.3801;1.2337
"2024-05-07T08:08:47.22Z";1715069327220;1.4678;1.307;1.3732;1.1384
"2024-05-07T08:08:47.367Z";1715069327367;1.457;1.3266;1.3669;1.1711
"2024-05-07T08:08:47.558Z";1715069327558;1.4488;1.3361;1.3599;1.1724
"2024-05-07T08:08:47.753Z";1715069327753;1.4418;1.2851;1.3532;1.1369
"2024-05-07T08:08:47.951Z";1715069327951;1.4365;1.3329;1.3474;1.1525
"2024-05-07T08:08:48.197Z";1715069328197;1.4318;1.3697;1.3424;1.1794
"2024-05-07T08:08:48.312Z";1715069328312;1.4276;1.3481;1.3382;1.1811
"2024-05-07T08:08:48.736Z";1715069328736;1.4248;1.3809;1.3349;1.2054
"2024-05-07T08:08:48.954Z";1715069328954;1.4247;1.4086;1.3316;1.1755
"2024-05-07T08:08:49.082Z";1715069329082;1.4221;1.3221;1.3269;1.1027
"2024-05-07T08:08:49.255Z";1715069329255;1.4167;1.2604;1.3226;1.086
"2024-05-07T08:08:49.445Z";1715069329445;1.4095;1.1788;1.3182;1.1454
"2024-05-07T08:08:49.679Z";1715069329679;1.4035;1.1685;1.3149;1.1802
"2024-05-07T08:08:49.889Z";1715069329889;1.397;1.2251;1.3111;1.1868
"2024-05-07T08:08:50.09Z";1715069330090;1.3919;1.3946;1.3063;1.1952
"2024-05-07T08:08:50.217Z";1715069330217;1.3865;1.3972;1.3019;1.2621
"2024-05-07T08:08:50.425Z";1715069330425;1.3781;1.3882;1.2978;1.3
"2024-05-07T08:08:50.7Z";1715069330700;1.3688;1.3364;1.2942;1.3528
"2024-05-07T08:08:50.893Z";1715069330893;1.3615;1.4894;1.2907;1.377
"2024-05-07T08:08:51.01Z";1715069331010;1.3534;NaN;1.2851;NaN
"2024-05-07T08:08:51.22Z";1715069331220;1.3453;NaN;1.2798;NaN
"2024-05-07T08:08:51.428Z";1715069331428;1.3358;NaN;1.2748;NaN
"2024-05-07T08:08:51.591Z";1715069331591;1.3269;NaN;1.2693;NaN
"2024-05-07T08:08:51.804Z";1715069331804;1.3182;NaN;1.2639;NaN
"2024-05-07T08:08:51.971Z";1715069331971;1.311;NaN;1.2596;NaN
"2024-05-07T08:08:52.127Z";1715069332127;1.3046;NaN;1.2555;NaN
"2024-05-07T08:08:52.348Z";1715069332348;1.2999;NaN;1.2517;NaN
"2024-05-07T08:08:52.52Z";1715069332520;1.2974;NaN;1.247;NaN
"2024-05-07T08:08:52.799Z";1715069332799;1.2954;NaN;1.2431;NaN
"2024-05-07T08:08:52.939Z";1715069332939;1.2951;NaN;1.2403;NaN
"2024-05-07T08:08:53.151Z";1715069333151;1.2929;NaN;1.2383;NaN
"2024-05-07T08:08:53.546Z";1715069333546;1.2943;NaN;1.2361;NaN
"2024-05-07T08:08:53.963Z";1715069333963;1.2959;NaN;1.2352;NaN
"2024-05-07T08:08:54.068Z";1715069334068;1.2972;NaN;1.2348;NaN
"2024-05-07T08:08:54.136Z";1715069334136;1.3025;1.5957;1.2381;1.5125
"2024-05-07T08:08:54.307Z";1715069334307;1.3079;1.6808;1.2431;1.5729
"2024-05-07T08:08:54.491Z";1715069334491;1.3134;1.668;1.2482;1.5652
"2024-05-07T08:08:54.663Z";1715069334663;1.3159;1.5148;1.2554;1.5921
"2024-05-07T08:08:54.838Z";1715069334838;1.3169;1.5132;1.2613;1.5156
"2024-05-07T08:08:55.119Z";1715069335119;1.3182;1.6141;1.2658;1.4672
"2024-05-07T08:08:55.208Z";1715069335208;1.3191;1.5801;1.2701;1.4595
"2024-05-07T08:08:55.451Z";1715069335451;1.319;1.4885;1.2756;1.5224
"2024-05-07T08:08:55.605Z";1715069335605;1.3188;1.5351;1.2819;1.5489
"2024-05-07T08:08:55.831Z";1715069335831;1.3204;1.5399;1.2881;1.5311
"2024-05-07T08:08:56.005Z";1715069336005;1.3225;1.5193;1.2947;1.4737
"2024-05-07T08:08:56.184Z";1715069336184;1.3237;1.4886;1.3;1.4308
"2024-05-07T08:08:56.454Z";1715069336454;1.3262;1.5702;1.3049;1.4174
"2024-05-07T08:08:56.582Z";1715069336582;1.3324;1.5989;1.3111;1.4571
"2024-05-07T08:08:56.759Z";1715069336759;1.3416;1.6751;1.3184;1.5374
"2024-05-07T08:08:57.043Z";1715069337043;1.3497;1.6101;1.3266;1.555
"2024-05-07T08:08:57.211Z";1715069337211;1.3589;1.6335;1.333;1.4995
"2024-05-07T08:08:57.356Z";1715069337356;1.3656;1.5684;1.3395;1.5
"2024-05-07T08:08:57.648Z";1715069337648;1.3738;1.622;1.3458;1.455
"2024-05-07T08:08:57.822Z";1715069337822;1.3807;1.5603;1.3509;1.469
"2024-05-07T08:08:58.011Z";1715069338011;1.3874;1.5288;1.356;1.5081
"2024-05-07T08:08:58.333Z";1715069338333;1.3936;1.5264;1.3614;1.5548
"2024-05-07T08:08:58.514Z";1715069338514;1.3988;1.5171;1.3668;1.5333
"2024-05-07T08:08:58.669Z";1715069338669;1.4019;1.5144;1.3699;1.5217
"2024-05-07T08:08:58.889Z";1715069338889;1.4055;1.5298;1.3717;1.4369
